Loadsheet_Number,Total_Pax,Y_Pax,Jump_Pax,Standby_Pax,Male_Pax,Female_Pax,Child_Pax,Infant_Pax,Total_Bags,Total_Bag_Weight_KG,Baggage_Weight_Type,Distribution_Type,Section,Capacity,Distribution
,178,178,0,NULL,124,51,3,5,147,1557.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y32
,178,178,0,NULL,124,51,3,5,147,1557.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y29
,178,178,0,NULL,124,51,3,5,147,1557.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y27
,178,178,0,NULL,124,51,3,5,147,1557.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y30
,178,178,0,NULL,124,51,3,5,147,1557.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y27
,178,178,0,NULL,124,51,3,5,147,1557.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y33
,172,172,0,NULL,89,73,10,2,100,1197.0,ACTUAL,CKI_DISTRIBUTION,0A,Y18,Y16
,172,172,0,NULL,89,73,10,2,100,1197.0,ACTUAL,CKI_DISTRIBUTION,0B,Y36,Y36
,172,172,0,NULL,89,73,10,2,100,1197.0,ACTUAL,CKI_DISTRIBUTION,0C,Y36,Y32
,172,172,0,NULL,89,73,10,2,100,1197.0,ACTUAL,CKI_DISTRIBUTION,0D,Y36,Y33
,172,172,0,NULL,89,73,10,2,100,1197.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y27
,172,172,0,NULL,89,73,10,2,100,1197.0,ACTUAL,CKI_DISTRIBUTION,0F,Y30,Y28
,53,53,0,NULL,35,18,0,0,56,614.0,HISTORIC,CKI_DISTRIBUTION,0A,Y33,Y4
,53,53,0,NULL,35,18,0,0,56,614.0,HISTORIC,CKI_DISTRIBUTION,0B,Y30,Y5
,53,53,0,NULL,35,18,0,0,56,614.0,HISTORIC,CKI_DISTRIBUTION,0C,Y30,Y8
,53,53,0,NULL,35,18,0,0,56,614.0,HISTORIC,CKI_DISTRIBUTION,0D,Y30,Y3
,53,53,0,NULL,35,18,0,0,56,614.0,HISTORIC,CKI_DISTRIBUTION,0E,Y30,Y10
,53,53,0,NULL,35,18,0,0,56,614.0,HISTORIC,CKI_DISTRIBUTION,0F,Y36,Y23
,184,184,0,NULL,117,58,9,4,135,1617.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y34
,184,184,0,NULL,117,58,9,4,135,1617.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y30
,184,184,0,NULL,117,58,9,4,135,1617.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y25
,184,184,0,NULL,117,58,9,4,135,1617.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y30
,184,184,0,NULL,117,58,9,4,135,1617.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y29
,184,184,0,NULL,117,58,9,4,135,1617.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y36
,157,157,0,NULL,100,50,7,0,137,1569.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y26
,157,157,0,NULL,100,50,7,0,137,1569.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y29
,157,157,0,NULL,100,50,7,0,137,1569.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y24
,157,157,0,NULL,100,50,7,0,137,1569.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y25
,157,157,0,NULL,100,50,7,0,137,1569.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y25
,157,157,0,NULL,100,50,7,0,137,1569.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y28
,54,54,0,NULL,36,18,0,0,56,532.0,ACTUAL,CKI_DISTRIBUTION,0A,Y33,Y4
,54,54,0,NULL,36,18,0,0,56,532.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y5
,54,54,0,NULL,36,18,0,0,56,532.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y8
,54,54,0,NULL,36,18,0,0,56,532.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y3
,54,54,0,NULL,36,18,0,0,56,532.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y10
,54,54,0,NULL,36,18,0,0,56,532.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y24
